2022-05-18 10:05:226 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-18 10:05:331 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (beb955dd92f69e23045c9c464c5ee7e2)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-18 11:05:146 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-18 11:05:396 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (ffb4de8eb34acc47974080f3990b7f11)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-18 11:05:980 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-18 11:05:358 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (988286a3e9f4761a0234ea13e6d8f130)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-18 11:05:605 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-18 11:05:525 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-18 11:05:912 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (35b8a933a2c86bc77d2c2fd0939f367f)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-18 11:05:710 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-18 11:05:886 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (12845c278e5c910f64000672b26caf30)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-18 11:05:76 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-18 11:05:244 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (125e034dcfd22c04a539236c7a320200)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-18 11:05:996 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-18 11:05:737 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (e80b213478c85245be060dfcc7522a72)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-18 11:05:838 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-18 11:05:190 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (b1cf28ea8309ed0ddaf2fb3a632f4cc3)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-18 11:05:725 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-18 11:05:992 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (7d2be9d6da42b559acb09137a6016d0c)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-18 11:05:394 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-18 11:05:451 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (b4a7aacb7752495afc39d8f0ca1d64e5)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-18 11:05:07 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-18 11:05:524 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (3b6dac406851a69d838f23e8afc99cba)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-18 11:05:169 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-18 11:05:601 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (ff934e14d5a62fbe38a3909ebe9e2bd4)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-18 11:05:33 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-18 11:05:412 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (f8d461388bae46f0ac5a9cec074b2995)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-18 11:05:784 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-18 11:05:65 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (487c7bf4765b23de7422bbcb2ae82e0e)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-18 11:05:240 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-18 11:05:115 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (5b4a2d776f277f3871710ac44015ae0a)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-18 11:05:35 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-18 11:05:323 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (72c0d963cfd8e72cc68ce303b252fd03)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-18 11:05:849 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-18 11:05:774 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (901599f2866a5cd3c698f62b7ab0e319)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-18 11:05:565 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-18 11:05:240 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (fb9c98c2aec520d6f3dc7cd2a04b1f4e)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-18 11:05:887 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-18 11:05:625 INFO  HomePage :22 - click on Topranked product [[ChromeDriver: chrome on WINDOWS (bcb6c4fdae783e3146c5d50b2969421a)] -> xpath: //a[normalize-space()='Top-ranked Products']]
2022-05-18 11:05:182 INFO  ManageDriver :34 - Launching Chrome Browser
